Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
AT,,,,,,,,,,,,,,,
AU,,,,,,,,,,,,,,,
BE,,,,,,,,,,,,,,,
BG,,,,,,,,,,,,,,,
BR,,,,,,,,,,,,,,,
CA,,,,,,,,,,,,,,,
CH,,,,,,,,,,,,,,,
CN,,,,,,,,,,,,,,,
CY,,,,,,,,,,,,,,,
CZ,,,,,,,,,,,,,,,
DE,,,,,,,,,,,,,,,
DK,,,,,,,,,,,,,,,
EE,,,,,,,,,,,,,,,
ES,,,,,,,,,,,,,,,
FI,,,,,,,,,,,,,,,
FR,,,,,,,,,,,,,,,
GB,,,,,,,,,,,,,,,
GR,,,,,,,,,,,,,,,
HR,,,,,,,,,,,,,,,
HU,,,,,,,,,,,,,,,
ID,,,,,,,,,,,,,,,
IE,,,,,,,,,,,,,,,
IN,,,,,,,,,,,,,,,
IT,,,,,,,,,,,,,,,
JP,,,,,,,,,,,,,,,
KR,,,,,,,,,,,,,,,
LT,,,,,,,,,,,,,,,
LU,,,,,,,,,,,,,,,
LV,,,,,,,,,,,,,,,
MT,,,,,,,,,,,,,,,
MX,,,,,,,,,,,,,,,
NL,,,,,,,,,,,,,,,
NO,,,,,,,,,,,,,,,
PL,,,,,,,,,,,,,,,
PT,,,,,,,,,,,,,,,
RO,,,,,,,,,,,,,,,
RU,,,,,,,,,,,,,,,
SE,,,,,,,,,,,,,,,
SI,,,,,,,,,,,,,,,
SK,,,,,,,,,,,,,,,
